user_no,accuracy,f1_score
1,0.9359145527369828,0.9359116967570804
2,0.8825100133511349,0.8823336189660097
3,0.9056974459724952,0.9050815850815852
4,0.9656319290465633,0.9656315488664508
5,100.0,1.0
6,0.9787709497206704,0.9787671326951196
7,0.9545454545454546,0.9545350172215844
8,0.9308510638297872,0.9302809870203964
9,0.8726899383983573,0.8722368911005044
10,0.950375939849624,0.9502747408372514
11,100.0,1.0
12,0.9649532710280374,0.964950209643606
13,0.9171052631578948,0.9169083232245404
14,0.9186390532544378,0.918638875211992
15,0.9627039627039627,0.9627021387584768
16,0.9344919786096256,0.9344862410739024
17,0.8459715639810427,0.8458252536323525
18,0.9729364005412721,0.9729339720769422
19,0.9583815028901734,0.9583769969417651
20,0.9068413391557496,0.9067178111952204
21,0.9322493224932248,0.9321890620405762
22,0.992867332382311,0.992864486314268
23,0.99880810488677,0.9988065790353348
24,0.9252336448598132,0.9251748251748252
25,0.8984910836762688,0.89816898218061
26,0.9235836627140976,0.9235251198665833
27,0.8351449275362319,0.8347495682210708
28,100.0,1.0
29,0.9176470588235294,0.9176442091421848
30,100.0,1.0
31,0.9734513274336284,0.9734430082256168
32,0.9552238805970148,0.9552194469886378
33,0.9974683544303796,0.9974682083888832
34,0.9181141439205956,0.9181060760008128
35,0.9592814371257484,0.959238818313386
36,0.9956427015250544,0.9956426808429846
37,0.8972392638036808,0.8970627393225332
38,0.9645808736717828,0.9645804293281292
39,0.9303977272727272,0.930309844017366
40,0.933774834437086,0.9337654225678312
